floor,room,number,artist,title,museum,place,memo,rank
B3,1,1,ミケランジェロ,システィーナ礼拝堂天井画および壁画,システィーナ礼拝堂,ヴァティカン,,S
B3,2,2,エル・グレコ,三位一体,プラド美術館,マドリード / スペイン,,B
B3,2,3,エル・グレコ,聖アンデレと聖フランチェスコ,プラド美術館,マドリード / スペイン,,
B3,3,4,エル・グレコ,聖マウリティウスの殉教,エル・エスコリアル美術館,エル・エスコリアル / スペイン,,B
B3,3,5,エル・グレコ,オルガス伯爵の埋葬,サント・トメ聖堂,トレド / スペイン,,A
B3,3,6,エル・グレコ,エル・グレコの祭壇衝立復元,プラド美術館、マドリード、スペイン/ルーマニア国立美術館,ブカレスト / ルーマニア,,
B3,4,137,,聖マルタン聖堂壁画,聖マルタン聖堂,ノアン・ヴィック / フランス,,
B3,5,138,,聖ニコラオス・オルファノス聖堂壁画,聖ニコラオス・オルファノス聖堂,テサロニキ / ギリシア,,
B3,6,7,,秘儀の間,秘儀荘,ポンペイ / イタリア,,B
B3,7,8,,鳥占い師の墓,モンテロッツィ墓地,タルクィニア / イタリア,,
B3,8,9,,貝殻のヴィーナス,貝殻のヴィーナスの家,ポンペイ / イタリア,,
B3,9,10,,大狩猟図,カサーレのローマ別荘,ピアッツァ・アルメリーナ / イタリア,,
B3,9,11,ヴァティカン73の画家,コリントス式オルペ,ヴァティカン美術館,ヴァティカン,,
B3,9,12,スフィンクスの画家,動物のパラダイス,ヴィラ・ジュリア国立博物館,ローマ / イタリア,,
B3,9,13,,プロメテウスを解放するヘラクレス,フィレンツェ国立考古学博物館,フィレンツェ / イタリア,,
B3,9,14,,死者の周りを踊る女たち,ナポリ国立考古学博物館,ナポリ / イタリア,,
B3,9,15,,ヘラクレスとアルキュオネウス,ヴァティカン美術館,ヴァティカン,,
B3,9,16,エクセキアス,ペンテシレイアを殺すアキレウス,大英博物館,ロンドン / イギリス,,
B3,9,17,ソシアスの画家,パトロクロスとアキレウス,ベルリン国立古代博物館,ベルリン / ドイツ,,
B3,9,18,,マケドニア王家の人々,ナポリ国立考古学博物館,ナポリ / イタリア,,
B3,9,19,アキレウスの画家,アキレウス,ヴァティカン美術館,ヴァティカン,,
B3,9,20,,春,ナポリ国立考古学博物館,ナポリ / イタリア,,
B3,9,21,,巨人族の戦い,フェッラーラ国立考古学博物館,フェッラーラ / イタリア,,
B3,9,22,ニオビダイの画家,ギリシア人とアマゾン族の戦い,ナポリ国立考古学博物館,ナポリ / イタリア,,
B3,9,23,,獅子狩り,ペラ考古学博物館,ペラ / ギリシア,,
